ingredient	foodon_id	foodon_label	string_score
stevia	FOODON:03540916	09160 - stevia (efsa foodex2)	90
sulphites	FOODON:03510225	food allergen labelling about sulphur dioxide and sulphites	90
sunset yellow fcf	FOODON:03413297	sunset yellow fcf/orange yellow s	90
tapioca dextrin	FOODON:03307663	tapioca	90
tapioca starch	FOODON:03544170	41700 - tapioca starch (efsa foodex2)	90
thiamin	FOODON:03413778	thiamin mononitrate	90
tocopherols	FOODON:03544485	44850 - vitamin e      (tocopherols, tocotrienols) (efsa foodex2)	90
turmeric	FOODON:03310841	turmeric (ground)	90
vanilla	FOODON:03411355	vanilla plant	90
vanilla bean seeds	FOODON:00003738	vanilla bean	90
vegetable	FOODON:03411005	stem or spear vegetable plant	90
vitamin a	FOODON:03306857	peanut butter (vitamin a added)	90
vitamin b6	CHEBI:27306	vitamin B6	90
vitamin c	FOODON:03306018	orange drink (vitamin c added)	90
vitamin d	FOODON:03301496	milk (vitamin d added)	90
vitamin d2	CHEBI:28934	vitamin D2	90
vitamin d3	FOODON:03401302	dietary supplement, vitamin	90
vitamin d3 strawberry	FOODON:00003443	strawberry	90
wheat	FOODON:00003416	durum wheat kernel	90
whey	FOODON:03420244	mammalian milk whey	90
whey protein	FOODON:00005524	whey protein isolate	90
whole blueberry	FOODON:00003541	blueberry	90
wild blueberry	FOODON:00003541	blueberry	90
yogurt	FOODON:00003258	strained yogurt	90
zinc	CHEBI:27363	zinc atom	90
artificial vanilla	FOODON:03541398	13980 - vanilla (efsa foodex2)	85.5
bacterial culture	FOODON:03460326	bacterial food-curing process	85.5
bacterial culture (bifidobacterium lactis bb-12)	FOODON:03460326	bacterial food-curing process	85.5
bacterial culture (bifidobacterium lactis cncm i-2494)	FOODON:03460326	bacterial food-curing process	85.5
bacterial culture (bifidobacterium lactis)	FOODON:03311651	bubod starter culture	85.5
bacterial culture (bifidobacterium sp.)	FOODON:03311651	bubod starter culture	85.5
bacterial culture (bifidus bacteria)	FOODON:03311651	bubod starter culture	85.5
bacterial culture (lactobacillus acidophilus la-5)	FOODON:03305998	acidophilus cow milk	85.5
bacterial culture (lactobacillus acidophilus)	FOODON:03460326	bacterial food-curing process	85.5
bacterial culture (lactobacillus casei)	FOODON:03311651	bubod starter culture	85.5
bacterial culture (lactobacillus delbrueckii subsp. bulgaricus)	FOODON:03460326	bacterial food-curing process	85.5
bacterial culture (lactobacillus paracasei)	FOODON:03311651	bubod starter culture	85.5
