Compiled	animal_parent	species	Alternative_name	taxon	ID	template	product_category	Curation Notes	Requested by	Version Tracking
TRUE		european anchovy		Engraulis encrasicolus	NCBITaxon:184585	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE		lingcod		Ophiodon elongatus	NCBITaxon:225387	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE		devilfish		Mobula mobular	NCBITaxon:1579277	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE		monkfish		Lophius	NCBITaxon:8072	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE		florida pompano		Trachinotus carolinus	NCBITaxon:173342	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE		american shad		Alosa sapidissima	NCBITaxon:34773	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE	smelt family	rainbow smelt		Osmerus mordax	NCBITaxon:8014	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE		white sucker		Catostomus commersonii	NCBITaxon:7971	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE		pumpkinseed sunfish		Lepomis gibbosus	NCBITaxon:270329	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE		swordfish		Xiphias gladius	NCBITaxon:8245	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE	tilefish family	tilefish		Malacanthidae	NCBITaxon:30851	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE		cuttlefish		Sepiidae	NCBITaxon:6608	Fish		Need this for USDA Mappings.	USDA	v2024-03-26
TRUE		octopus		Octopus	FOODON:03411514	Cephalopoda		NCBI also has 'Octopus' with a broad synonym 'octopus'.	USDA	v2024-03-26
TRUE		common octopus		Octopus vulgaris	NCBITaxon:6645	Cephalopoda		Need this for USDA Mappings.	USDA	v2024-03-26
