Ontology ID	label	cross reference IRI	synonym	English Exact syn	narrow synonym	Broad Synonym	Related synonym	British english syn.	Italian Exact syn.	French Exact syn.	german Exact syn.	spanish Exact syn.	portuguese Exact syn.	term contributor
FOODON:03470171	food cryogenic freezing	langual:J0171		flash freezing										
FOODON:03470172	food storage with refrigerating agent process	langual:J0172												https://orcid.org/0000-0002-8844-9165
FOODON:03470173	inert atmosphere storage process	langual:J0173												
FOODON:03470174	vaccum storage process	langual:J0174												
FOODON:03470175	food blanching	langual:J0175		blanching										https://orcid.org/0000-0002-8844-9165
FOODON:03470176	controlled atmosphere storage process	langual:J0176		CA|CA storage										
FOODON:03470177	food micro-filtration	langual:J0177												
FOODON:03470178	high temperature short time (HTST) pasteurization	langual:J0178		HTST										
FOODON:03470179	higher heat shorter time (HHST) pasteurization	langual:J0179		HHST										
FOODON:03470180	ultra high temperature (UHT) pasteurization	langual:J0180|foodex2:A07HY		UHT										
FOODON:03470181	filling conditions for pasteurization	langual:J0181												
FOODON:03470182	low-temperature-long-time (LTLT) pasteurization	langual:J0182		batch pasteurization|holding pasteurization|LTLT										
FOODON:00004068	winemaking			winemaking|vinification										
FOODON:00004071	hot maceration			thermo-maceration|thermomaceration|thermo-vinification										
FOODON:00004074	cold maceration			cold soak										
	wine secondary alcohol fermentation			malolactic alcohol fermentation										
FOODON:03000477	light sour cream			sour cream (reduced fat)										
FOODON:00004697	tofu			bean curd										
FOODON:00005567	cellophane noodle			glass noodle|chinese cellophane noodle|fensi										
FOODON:00005579	cow whey			sour whey										
FOODON:03600009	omega-3- fatty acid supplement				eicosapentaenoic acid (EPA) supplement|docosahexaenoic acid (DHA) supplement									
FOODON:03600000	black cohosh supplement	DRON:00020995|DRON:00024242		black bugbane supplement|black snakeroot supplement|Cimicifuga racemosa supplement										
FOODON:03600001	coenzyme Q10 supplement	DRON:00021427|DRON:00021428|DRON:00024311|DRON:00751502|DRON:00032484|DRON:00024309		ubiquinone-10 supplement|CoQ10 supplement										
FOODON:03600004	ginkgo biloba supplement	DRON:00030691|DRON:00022022|DRON:00022023|DRON:00024375|DRON:00025240		ginkgo leaf supplement										
FOODON:03600005	ginseng supplement			Asian ginseng supplement										
FOODON:03600008	milk thistle supplement	DRON:00024676|DRON:00022555|DRON:00022554|DRON:00024434		silymarin supplement|milk thistle extract supplement										
FOODON:03600010	red yeast rice supplement	DRON:00024498|DRON:00032781		red fermented rice supplement|red koji rice supplement|angkak supplement										
FOODON:03600012	St. John's wort supplement	DRON:00023439|DRON:00023442|DRON:00023441		hypericum supplement										
FOODON:03000439	green powder supplement			green powder										
FOODON:03000440	chlorella powder supplement			chlorella powder										
FOODON:03000441	liver powder supplement			liver powder										
FOODON:03000442	liver powder supplement (desiccated)			desiccated liver powder										
FOODON:03000445	elderly dietary supplement			elderly formula powder|elderly formula										
FOODON:03301014	grape wine	siren:F1014												
FOODON:03310272	red wine	siren:F10272												
FOODON:03310734	rosé wine	siren:F10734		rosé						rosé				
FOODON:03310273	white wine	siren:F10273												
FOODON:00004065	Table Wine (deprecated EU standard)			TW										
FOODON:03307296	fortified wine	siren:F7296												
FOODON:03317393	still wine	siren:F17393												
FOODON:00004049	Quality Wines Produced in Specified Regions			QWpsr|Quality Wine psr|quality wines								vino de calidad producido en región determinada|VCPRD		
FOODON:03530258	Denominazione di origine controllata	langual:Z0258		controlled origin denomination					Denominazione di origine controllata|DOC					
FOODON:00004053	Vintners Quality Alliance			VQA										
FOODON:00004054	American Viticultural Area			AVA										
FOODON:00004057	Denominación de Origen Protegida			protected denomination of origin								DOP|denominación de origin|DO		
FOODON:00004058	Denominación de Origen Calificada			denomination of qualified origin								DOCa		
FOODON:00004059	Vino de Pago			estate wine								VP		
FOODON:00004060	Vino de Calidad con indicación geográfica			quality wine with geographic indication								VC		
FOODON:00004061	Indicación geográfica protegida			PGI								IGP		
FOODON:00004062	Vino de Mesa			table wine								VdM		
FOODON:03530086	Appellation d'origine contrôlée			controlled designation of origin						Appellation d'origine contrôlée|AOC				
FOODON:00002641	Bordeaux wine							claret						
FOODON:00002639	Zakynthos wine			zante wine										
FOODON:00002587	Chenin blanc grape cultivar									Pineau de la Loire				
FOODON:00002594	Pinot gris wine								Pinot Grigio		Grauburgunder			
FOODON:00002595	Pinot gris grape cultivar								Pinot Grigio grape		Grauburgunder			
FOODON:00002596	Pinot noir wine									Rulandské modré|Pinot Nero	Blauburgunder|Spätburgunder			
FOODON:00002605	Sauvignon blanc wine			Muskat-Silvaner						Sauvignon jaune|Blanc fume|Fume blanc				
FOODON:00002607	Semillon wine									Sémillon wine				
FOODON:00002608	Semillon grape cultivar									Sémillon grape				
FOODON:00002609	Glera wine			Prosecco wine										
FOODON:00002610	Glera grape cultivar			Prosecco grape										
FOODON:00002611	Prosecco wine								spumante|frizzante|tranquillo					
FOODON:00002613	Syrah grape cultivar			Shiraz										
FOODON:00002615	Tempranillo grape cultivar											Ull de Llebre|Cencibel|Tinta del Pais	Aragonez|Tinta Roriz	
FOODON:00002618	Zinfandel grape cultivar			Primitivo										
FOODON:00002619	Frappato wine								Frappato Nero|Frappato Nero di Vittoria|Frappatu|Frappatu di Vittoria|Nerello|Nerello di Catania|Nero Capitano.					
FOODON:00002620	Frappato grape cultivar								Frappato di Vittoria					
FOODON:00002622	Gamay grape cultivar									Gamay Noir à Jus Blanc				
FOODON:00002624	Gewürztraminer grape cultivar			Gewürz						Gewurztraminer				
FOODON:00002626	Carignane grape cultivar								Carignano|Bovale Grande			Cariñena|Mazuelo|Samsó|Carinyena		
FOODON:00002628	Grenache grape cultivar											Garnacha		
FOODON:00002863	Blaufränkisch grape cultivar										Blaufränkisch grape|lemberger|Blauer Limberger|Blue Limberger			
FOODON:00002868	Mourvèdre grape cultivar			Mourvèdre grape|Mataró|Monastrell								Monastrell		
FOODON:00004046	grape pomace			marc|grape solids										
FOODON:00002635	fusilli			rotini										
FOODON:00002637	linguine			trenette										
FOODON:03470177				microfiltration										
