type	Ontology ID	NTR	label	parent	term	MIFC	definition	definition source	comment	example of use	EquivalentTo	SubClassOf	has specified input	has specified output	has characteristic	see also IRI	term contributor	curation status	created
3	FOODON:03470161		preservation by electron accelerator radiation	preservation by irradiation	preservation by electron accelerator radiation		Treated by electron accelerator radiation, for example to kill insects in cereals.												
3	FOODON:03460119		microbial/enzymatic modification	food modification	microbial/enzymatic modification		A food modification by microbial or enzymatic action which results in molecular changes in any food component.		LanguaL curation note: If salt, sugar or other food additive is used to aid in the modification, index it by the appropriate term under *INGREDIENT ADDED*.										
																			
3	FOODON:03470107		food preservation	food treatment	food preservation		A food treatment which contributes to the prevention or retardation of microbial, enzymatic or oxidative spoilage and thus to the durability of food material.		LanguaL curation notes:  - This term is for CLASSIFICATION ONLY; DO NOT USE term in indexing. Use a more precise narrower term. - Index all methods for which information is available, even if a corresponding descriptor has already been used in *H. TREATMENT APPLIED*. Preservation descriptors refer to the finished food as a whole with these exceptions: (1) if the components of a multi-component food, such as cream pie, are preservation by different methods, index all methods; (2)  if chemical preservatives are declared on the label, always index them even if it is known that the preservative was introduced through or is only present in a component or ingredient of the food; and (3) if the preservation method for an ingredient is declared on the label (such as brie cheese made from pasteurized milk) index it. Also use *INGREDIENT preservation by THERMAL PROCESSING* or *INGREDIENT preservation by IRRADIATION* when ingredients have been pasteurized, ultrapasteurized, sterilized or irradiated.										
2	FOODON:03000497	NTR	food (perishable)	food material by characteristic	food (perishable)		Food which has a perishable characteristic.												
1	FOODON:03000498	NTR	perishable	food characteristic	perishable		A characteristic of food material which indicates that over time it will more likely decompose, or spoil or cause illness due to foodborne microorganisms, unless subjected to a food preservation process.	https://en.wiktionary.org/wiki/perishable	Perishability is often linked to the water activity (or concentration) in food materials.							https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/inspection-technical-guides/water-activity-aw-foods			
1	FOODON:03000499	NTR	shelf stable	food characteristic	shelf stable	shelf stable	A characteristic food material which indicates that from a food safety perspective it can be safely stored at room temperature.	https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/shelf-stable-food	Some food materials such as milk need sterilization to be shelf stable; others are shelf stable due to their dehydrated state, such as dates or dried peas.										
1	FOODON:03000500	NTR	durable shelf life	shelf stable	durable shelf life		A characteristic of shelf stable food material which indicates that in addition to being safely storable, it maintains its quality and desired palatability, and fulfills any nutritional declarations it has, up to some date of minimum durability.	https://inspection.canada.ca/en/preventive-controls/shelf-life-studies	"The general discriptive dimension here is ""durability"".  Some food materials such as bread need packaging and/or additives in addition to preservatives to extend their durable life. Ambient temperature or humidity may ultimately affect extend durable life performance."										
3	FOODON:03470109		chemical food preservation	food preservation	chemical food preservation		Preservation by use of chemical to destroy, suppress or inhibit undesirable microorganisms or enzyme activity.												
3	FOODON:03470108		preservation by treatment with chemicals	chemical food preservation	preservation by treatment with chemicals		Preservation by immersing in or spraying with liquids (e.g., sulfite solutions) or surrounding with gases (e.g., ethylene oxide, propylene oxide or sulfur dioxide) to destroy undesirable microorganisms or inactivate enzymes. Diffusion and chemical reaction may create a residue in the food product that contributes to continuing preservation.												
