DISABLED	ID	parent class	label	Equivalence axiom	Animal (top level class) Equivalence	Subclass axiom	definition	comment	definition source	Exact Synonym	Broad Synonym	created	term contributor	see also	curation status	image	Curation notes	Minimum	Aves	Bovidae	Suina	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Ursidae	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Home sapiens		Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian		Chelicerata	Crustacea	Hexapoda	Other
	FOODON:02010037	{animal} fat	{animal} external fat (raw)	'{animal} external fat' and 'has quality' some 'raw'			{animal} external fat that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010038	{animal} fat	{animal} seam fat (raw)	'{animal} seam fat' and 'has quality' some 'raw'			{animal} seam fat that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010039	{animal} piece	{animal} blubber	'animal blubber' and 'derives from' some '{animal}'	'animal piece' and 'derives from' some blubber		Blubber that is derived from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010040	{animal} piece	{animal} organ (whole or pieces)	'{animal} organ' or 'piece(s) of {animal} organ' 			A whole {animal} organ or a processed {animal} organ.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010041	{animal} organ (whole or pieces)	{animal} organ (whole or pieces, raw)	'{animal} organ (whole or pieces)' and 'has quality' some 'raw'			A whole {animal} organ or a processed {animal} organ that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:00004436	{animal} piece	{animal} organ	'animal organ' and 'derives from' some '{animal}'	'animal piece' and 'derives from' some 'organ'		An animal organ that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010042	{animal} organ 	{animal} heart	'animal heart' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'heart'		A whole animal heart that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release		pig																																		
	FOODON:02010043	{animal} organ 	{animal} brain	'animal brain' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'brain'		A whole animal brain that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010044	{animal} organ 	{animal} kidney	'animal kidney' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'kidney'		A whole animal kidney that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010045	{animal} organ 	{animal} liver	'animal liver' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'liver'		A whole animal liver that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release		For EFSA- sheep, chicken, turkey, cod																																		
	FOODON:02010046	{animal} organ 	{animal} spleen	'animal spleen' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'spleen'		A whole animal spleen that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010047	{animal} organ 	{animal} lung	'animal lung' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'lung'		A whole animal lung that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010048	{animal} organ 	{animal} gizzard	'animal gizzard' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'gizzard'		A whole animal gizzard that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010049	{animal} organ 	{animal} tongue	'animal tongue' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'tongue'		A whole animal tongue that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010050	{animal} organ 	{animal} rectum	'animal rectum' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'rectum'		A whole animal rectum that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010051	{animal} organ 	{animal} thymus	'animal thymus' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'thymus'		A whole animal thymus that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010052	{animal} organ 	{animal} pancreas	'animal pancreas' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'pancreas'		A whole animal pancreas that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010053	{animal} organ 	{animal} ovary	'animal ovary' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'ovary'		A whole animal ovary that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010054	{animal} organ 	{animal} testicle	'animal testicle' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'testis'		A whole animal testicle that derives from an {animal}.			{animal} testis		2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010055	{animal} organ 	{animal} stomach	'animal stomach' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'stomach'		A whole animal stomach that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010056	{animal} organ 	{animal} ear	'animal ear' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'ear'		A whole animal ear that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010057	{animal} organ 	{animal} small intestine	'animal small intestine' and 'derives from' some '{animal}'	'animal organ' and 'derives from' some 'small intestine'		A whole animal small intestine that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010058	{animal} organ 	{animal} organ (raw)	'{animal} organ' and 'has quality' some 'raw'			A whole raw animal organ that is obtained from {animal} during a butchery process.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010059	{animal} heart 	{animal} heart (raw)	'{animal} heart' and 'has quality' some 'raw'			A whole raw heart that is obtained from {animal}.			raw {animal} heart 		2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010060	{animal} brain 	{animal} brain (raw)	'{animal} brain' and 'has quality' some 'raw'			A whole raw heart that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010061	{animal} kidney 	{animal} kidney (raw)	'{animal} kidney' and 'has quality' some 'raw'			A whole raw kidney that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010062	{animal} liver 	{animal} liver (raw)	'{animal} liver' and 'has quality' some 'raw'			A whole raw liver that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
