Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	taxon	definition	definition source	Last Updated	created	term editor	Exact Synonym	Related synonym	Broad Synonym	Narrow Synonym	British english syn.	Italian syn.	French syn.	german syn.	spanish syn.	portuguese syn.	see also	curation status	comment	image	Curation notes	term requested
ID	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|		AL IAO:0000115@en	A IAO:0000119 SPLIT=|		AT dcterms:date^^xsd:dateTime	AT IAO:0000117^^rdfs:anyURI SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|	A rdfs:seeAlso SPLIT=|	AI IAO:0000114	AL rdfs:comment@en	AI schema:image		
FOODON:00003416	caryopsis fruit	durum wheat kernel	'caryopsis fruit' and 'in taxon' some 'Triticum turgidum subsp. durum'		Triticum turgidum subsp. durum	A caryopsis fruit of a durum wheat plant (Triticum turgidum subsp. durum).			2020-09-09T14:22:09	http://orcid.org/0000-0002-8844-9165	durum wheat | durum wheat seed											IAO:0000122				
FOODON:03301227	bean (whole)	broad bean (whole)	'seed' and ('in taxon' some 'Vicia faba' and 'in taxon' only 'Vicia faba')		Vicia faba	A seed of a broad bean plant (Vicia faba).				http://orcid.org/0000-0002-8844-9165	broad bean|broadbean|faba bean|fava bean|Windsor bean											IAO:0000122				
FOODON:00003417	berry fruit	grape (whole)	'berry fruit' and ('in taxon' some 'grape plant' and 'in taxon' only 'grape plant')			A berry fruit of a grape plant.			2020-09-09T14:38:33	http://orcid.org/0000-0002-8844-9165	grape | de-stemmed grape											IAO:0000122				
FOODON:00003206	seed	peanut (whole)	'seed' and ('in taxon' some 'Arachis hypogaea' and 'in taxon' only 'Arachis hypogaea')		Arachis hypogaea	A seed of a peanut plant (Arachis hypogaea).				http://orcid.org/0000-0002-8844-9165	peanut											IAO:0000122				
FOODON:00003418	nut fruit	common hazelnut (whole)	'nut fruit' and ('in taxon' some 'Corylus avellana' and 'in taxon' only 'Corylus avellana')		Corylus avellana	A nut fruit of a common hazelnut tree (Corylus avellana)			2020-09-09T14:47:29	http://orcid.org/0000-0002-8844-9165	common hazelnut											IAO:0000122				
FOODON:00003421	seed	indian mustard seed (whole)	'seed' and 'in taxon' some 'Brassica juncea subsp. integrifolia'		Brassica juncea subsp. integrifolia	A seed of an indian mustard plant (Brassica juncea subsp. integrifolia).			2020-09-09T15:16:24	http://orcid.org/0000-0002-8844-9165	indian mustard seed											IAO:0000122				
FOODON:00003422	stem	kohlrabi stem (whole)	'stem' and 'in taxon' some 'Brassica oleracea var. gongylodes'		Brassica oleracea var. gongylodes	A stem of a kohlrabi plant (Brassica oleracea var. gongylodes).			2020-09-09T15:32:09	http://orcid.org/0000-0002-8844-9165	kohlrabi stem											IAO:0000122				
FOODON:03310641	seed	lentil (whole)	'seed' and ('in taxon' some 'Lens culinaris' and 'in taxon' only 'Lens culinaris')		Lens culinaris	A seed of a lentil plant (Lens culinaris).				http://orcid.org/0000-0002-8844-9165	lentil											IAO:0000122				
FOODON:00004093	nut food product	macadamia nut food product	'nut food product' and 'derives from' some 'macadamia nut (whole)'		macadamia nut (whole)	A food product made from Macadamia nut.				https://orcid.org/0000-0001-5275-8866																
FOODON:00003003	seed	macadamia nut (whole)	'seed' and ('in taxon' some 'Macadamia integrifolia' and 'in taxon' only 'Macadamia integrifolia')		Macadamia integrifolia	A seed of a macadamia nut tree (Macadamia integrifolia).			2019-08-13T05:53:56	http://orcid.org/0000-0002-8844-9165	macadamia nut|bauple nut|bauple|boombera|bush nut|gyndl|Hawaii nut|jindilli|macadamia|maroochi nut|Queensland nut											IAO:0000122				
FOODON:00003427	caryopsis fruit	maize kernel	'caryopsis fruit' and 'in taxon' some 'Zea mays subsp. mays'		Zea mays subsp. mays	A caryopsis fruit of a maize plant  (Zea mays subsp. mays).			2020-09-09T22:30:15	http://orcid.org/0000-0002-8844-9165	corn kernel											IAO:0000122				
FOODON:00003428	ear infructescence	maize cob (whole)	'ear infructescence' and 'in taxon' some 'Zea mays subsp. mays'		Zea mays subsp. mays	An ear infructescence of a maize plant (Zea mays subsp. mays).			2020-09-09T22:30:40	http://orcid.org/0000-0002-8844-9165	maize cob|corn cob											IAO:0000122				
